case,group,label,model,kernel,n_train,n_test,RMSE_cm,MAE_cm,bias_cm,cover95
7,A,40% block centred 65%,GP,Matern 3/2,1384,1028,10.007714140647849,7.849864270585149,2.025664665472364,93.96887159533074
7,A,40% block centred 65%,GPM52,Matern 5/2,1384,1028,10.007995924333006,7.8504675953491185,2.0253084519047575,93.96887159533074
7,A,40% block centred 65%,GPRQ,rational quadratic,1384,1028,10.005429504734527,7.85275226355171,2.0210323835853803,94.3579766536965
7,A,40% block centred 65%,GP2M32,two-scale M3/2,1384,1028,10.003967814069817,7.849980566411295,2.041830484532206,94.3579766536965
7,A,40% block centred 65%,GP2M32SA,GP-2M-SA,1384,1028,9.744129571521666,7.749052886897156,2.0917876735438123,94.55252918287937
7,A,40% block centred 65%,GPQP,M3/2 + quasi-periodic,1384,1028,10.005487724837584,7.850360110765074,2.0446253317742613,94.3579766536965
8,B,last 10%,GPM12,Matern 1/2,2155,257,11.060064327167964,8.742612385263335,-3.1309960237304124,91.82879377431907
8,B,last 10%,GP,Matern 3/2,2155,257,11.062702257914045,8.744069114943942,-3.1357012602923193,91.43968871595331
8,B,last 10%,GPM52,Matern 5/2,2155,257,11.063555230714803,8.744294836606132,-3.1380696280562232,91.43968871595331
8,B,last 10%,GPRQ,rational quadratic,2155,257,10.907266488636838,8.654834285859598,-2.7123208363675304,92.21789883268482
8,B,last 10%,GP2M32,two-scale M3/2,2155,257,11.054559071826308,8.73814938010089,-3.116281618389395,91.82879377431907
8,B,last 10%,GP2M32SA,GP-2M-SA,2155,257,10.595983846631581,8.307428390617,-3.1166976838665486,91.43968871595331
8,B,last 10%,GPQP,M3/2 + quasi-periodic,2155,257,10.680626667546477,8.332682102105908,-3.381944209312894,92.21789883268482
9,B,last 20%,GPM12,Matern 1/2,1894,518,10.215826062298557,7.932504773843865,-3.323623652343727,93.62934362934364
9,B,last 20%,GP,Matern 3/2,1894,518,10.21315914579002,7.927977214757546,-3.3377562470859745,93.43629343629344
9,B,last 20%,GPM52,Matern 5/2,1894,518,10.212468836039008,7.926988005944019,-3.3470371425989187,93.62934362934364
9,B,last 20%,GPRQ,rational quadratic,1894,518,10.309087681547005,7.994978663629359,-3.6625075376263347,93.62934362934364
9,B,last 20%,GP2M32,two-scale M3/2,1894,518,10.222409304217303,7.941820267590403,-3.341609339607827,93.82239382239382
9,B,last 20%,GP2M32SA,GP-2M-SA,1894,518,9.85387863786787,7.740195189745477,-3.1103573073139157,95.36679536679536
