group,Matern 1/2,Matern 3/2,Matern 5/2,rational quadratic,two-scale M3/2,GP-2M-SA,M3/2 + quasi-periodic
A,9.987,10.002,10.008,9.927,9.947,9.756,9.809
B,10.28,10.28,10.281,10.321,10.296,9.986,10.06
C1,8.305,8.308,8.311,8.108,8.278,8.589,8.678
C2,9.95,10.005,10.027,9.902,9.898,9.539,9.612
D,9.135,9.254,9.31,8.958,9.001,8.965,9.21
all 26,9.57,9.605,9.62,9.484,9.525,9.404,9.5
